data,R,Python,name,requests,memo
Select a Dataset:,1,1,Examples:,Examples,
No Data,1,1,Random numbers,Generate 100 random numbers. Plot their distribution.,
MPG (examples),1,0,"Boxplot, ggplot2",Create a boxplot of highway vs. class. Color by class. Add jitter points.,
Fertilizer (examples),1,0,Scatterplot,"make a scatterplot of yield per acre based on soil quality. only include farms in the ""Treatment"" study group. add a smoothed trend line with estimation error. use color blind friendly colors. make all font sizes 18.",
Fertilizer (examples),1,0,"New Variable","create a new variable called Soil Quality Category. If average soil quality > 70, Soil Quality Category = ""High"". If average soil quality < 70, Soil Quality Category = ""Low"".",
Salary Main (examples),1,0,Scatter Plot,"make a scatter plot of salary as the response variable, experience on the horizontal axis, and degree as a third factor. include a smoothed trend line with estimation error. make all font sizes 18. use color-blind friendly colors. place the legend below the plot. make the x-axis have breaks at every 1.",
Diet Interaction (examples),1,0,Interaction Plot,"make an interaction plot with protein as the response variable and diet and country as explanatory variables. use Sweden as a reference group, and Vegetarian as a reference group. only include the mean values with 95% interval estimate. make all font sizes 18. place the legend below the plot. use color-blind friendly colors.",
Grade Interaction (examples),1,0,Linear Model,"fit a linear model with grade as the response variable and year in school and major as explanatory variables. use Freshman as a reference group, and Non-STEM as a reference group",
Exam Grades (examples),1,0,Density Plot,"create a side-by-side density plot of practice exam grade by year in school. have the x-axis go from 0 to 100. add x-axis tick marks for every 5 points. use a color-blind friendly color palette. place the legend on the bottom of the plot.",
Movie Release (examples),1,0,Scatterplot,"create a scatterplot of inflation adjusted average by release date, but only consider the month and day of the release date, not the year. add a smoothed trend line. use a color blind friendly color. make all font sizes 18. only include the months in the x-axis labels.",
Mutual Funds (examples),1,0,Prediction Model,"create a new data frame with just the observation with fund symbol BSPIX. drop the ID and fund symbol from the data frame. using the entire original data frame, fit a model for load adjusted return. use all other variables as explanatory variables (except ID and fund symbol). use cross validation. use the model to make a prediction using the new data frame",
Acupuncture (examples),1,0,Two-way Table,"create a two-way table for biological sex by study group. compute column percents. round to one decimal place",
jokes,0,0,,Why did the tomato turn red? Because it saw the salad dressing. - ChatGPT,
jokes,0,0,,Why was the belt arrested? Because it held up a pair of pants. - ChatGPT,
jokes,0,0,,Why was the math book sad? Because it had too many problems. - ChatGPT,
jokes,0,0,,Why was the statistician's favorite method of transportation a bus? Because it had a lot of data. - ChatGPT,
jokes,0,0,,Why was the math book upset? Because it was having a negative number of pages. - ChatGPT,
jokes,0,0,,Why was the math book happy? Because it had lots of solutions. - ChatGPT,
jokes,0,0,,Why couldn't the bicycle stand up by itself? Because it was two-tired. - ChatGPT,
jokes,0,0,,Why do statisticians enjoy spending time with their data? Because they're data-driven individuals. - ChatGPT,
jokes,0,0,,Why do statisticians like playing with their data? Because they have mean jokes. - ChatGPT,
jokes,0,0,,Why do statisticians have a tough time at parties? Because they're always trying to fit in. - ChatGPT,
jokes,0,0,,Believe in yourself and all that you are. Know that there is something inside you that is greater than any obstacle. -ChatGPT,
jokes,0,0,,Don't let yesterday take up too much of today. -ChatGPT,
jokes,0,0,,"If you want to live a happy life, tie it to a goal, not to people or things. -ChatGPT",
jokes,0,0,,"If you can dream it, you can do it.",
jokes,0,0,,"Success is not final, failure is not fatal: it is the courage to continue that counts. -ChatGPT",
jokes,0,0,,The only way to do great work is to love what you do. -ChatGPT,
jokes,0,0,,The only limit to our realization of tomorrow will be our doubts of today. -ChatGPT,
jokes,0,0,,You miss 100% of the shots you don't take. - Wayne Gretzky,
jokes,0,0,,"Your time is limited, don't waste it living someone else's life. -ChatGPT",
jokes,0,0,,Hardships often prepare ordinary people for an extraordinary destiny. -ChatGPT,
jokes,0,0,,"Success is not how high you have climbed, but how you make a positive difference to the world. -ChatGPT",
jokes,0,0,,Happiness is not something ready-made. It comes from your own actions. -ChatGPT,
jokes,0,0,,The only way to do great work is to be passionate about what you do. -ChatGPT,
jokes,0,0,,Believe you can and you're halfway there. -ChatGPT,
jokes,0,0,,The only way to achieve the impossible is to believe it is possible. -ChatGPT,
jokes,0,0,,"Do what you can, with what you have, where you are. -ChatGPT",
jokes,0,0,,"The greatest glory in living lies not in never falling, but in rising every time we fall. -ChatGPT",
jokes,0,0,,"Life is not about waiting for the storm to pass, but learning to dance in the rain. -ChatGPT",
jokes,0,0,,The biggest adventure you can take is to live the life of your dreams. -ChatGPT,
jokes,0,0,,"If opportunity doesn't knock, build a door. -ChatGPT",
jokes,0,0,,The only limit to our realization of tomorrow will be our doubts of today. -ChatGPT,
jokes,0,0,,The only true limit to our realization of tomorrow is in today's doubts and fears. -ChatGPT,
jokes,0,0,,Don't watch the clock; do what it does. Keep going. -ChatGPT,
jokes,0,0,,Successful people do what unsuccessful people are not willing to do. Don't wish it were easier; wish you were better. -ChatGPT,
jokes,0,0,,"You may be the only person left who believes in you, but it's enough. It takes just one star to pierce a universe of darkness. Never give up. -ChatGPT",
jokes,0,0,,Be the change you wish to see in the world. -ChatGPT,
jokes,0,0,,The only way to discover the limits of the possible is to go beyond them into the impossible. -ChatGPT,
jokes,0,0,,"Success is not in what you have, but who you are. -ChatGPT",
jokes,0,0,,"Success is not how much money you make, but the difference you make in people's lives. -ChatGPT",
